Image_Url, Item_Name, Item_Price, Username, Rating_Score, Review_Description, Review_Date 
https://images-na.ssl-images-amazon.com/images/I/71euDhmocaL.__AC_SY300_SX300_QL70_ML2_.jpg,ASD Round Egg Pan| 12cm| Matt Black,S$5.50,Kien Lip Lee,3.0 ,This time the pan had a bad non-stick coating' with little nodules dotting 20% of the pan's flat surface. Scratching the nodules off meant damaging the surface a little. Not too happy about it... This replaces the same brand same model I have but was without defect when bought 2 years ago.,Reviewed in Singapore on 22 June 2021
https://images-na.ssl-images-amazon.com/images/I/71euDhmocaL.__AC_SY300_SX300_QL70_ML2_.jpg,ASD Round Egg Pan| 12cm| Matt Black,S$5.50,Malyna Y,5.0 ,so easy for 1.. egg' pancake.. price is awesome too!,Reviewed in Singapore on 14 August 2020
https://images-na.ssl-images-amazon.com/images/I/71euDhmocaL.__AC_SY300_SX300_QL70_ML2_.jpg,ASD Round Egg Pan| 12cm| Matt Black,S$5.50,Cheryl Koh,3.0 ,Pan does not lay flat on stove. It topples,Reviewed in Singapore on 14 August 2020
https://images-na.ssl-images-amazon.com/images/I/71euDhmocaL.__AC_SY300_SX300_QL70_ML2_.jpg,ASD Round Egg Pan| 12cm| Matt Black,S$5.50,Adrian teng,5.0 ,Like easy to fry egg,Reviewed in Singapore on 9 March 2020
