Image_Url, Item_Name, Item_Price, Average_Rating, Number_Of_Ratings
https://m.media-amazon.com/images/I/81dHL7pFWPL._AC_UL320_.jpg,Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,S$69.84,4.0 ,24
https://m.media-amazon.com/images/I/61zVrRHFVDL._AC_UL320_.jpg,Data Or It Didn't Happen: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$26.99,,
https://m.media-amazon.com/images/I/61E9Wn1sUgL._AC_UL320_.jpg,Data Nerd: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$35.57,,
https://m.media-amazon.com/images/I/813l1BZ7PbL._AC_UL320_.jpg,Communicating with Data: Making Your Case with Data,S$67.73,4.5 ,2
https://m.media-amazon.com/images/I/71ibtC-lA+L._AC_UL320_.jpg,Probabilistic Machine Learning: An Introduction,S$135.50,4.4 ,7
https://m.media-amazon.com/images/I/61qCizTU3+L._AC_UL320_.jpg,The Decision Maker's Handbook to Data Science: A Guide for Non-Technical Executives| Managers| and Founders,S$43.82,4.4 ,4
https://m.media-amazon.com/images/I/51x4Ms2DjTL._AC_UL320_.jpg,Data Analytics for Organisational Development: Unleashing the Potential of Your Data,S$43.70,5.0 ,3
https://m.media-amazon.com/images/I/61hh6-cbJFL._AC_UL320_.jpg,Extending Power BI with Python and R: Ingest| transform| enrich| and visualize data using the power of analytical languages,S$68.42,5.0 ,3
https://m.media-amazon.com/images/I/71xatzomvdL._AC_UL320_.jpg,Data Science for Supply Chain Forecasting,S$54.16,4.9 ,14
https://m.media-amazon.com/images/I/81O+YkUG1aL._AC_UL320_.jpg,Foundations of Data Science,S$67.32,4.9 ,28
https://m.media-amazon.com/images/I/51VqQF1JtKL._AC_UL320_.jpg,Data is Life: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$26.99,,
https://m.media-amazon.com/images/I/61FLzOfx58L._AC_UL320_.jpg,Data Is My Jam: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$26.99,,
https://m.media-amazon.com/images/I/51OmGxSvrxL._AC_UL320_.jpg,Data Legend: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$26.81,,
https://m.media-amazon.com/images/I/61Zje7+s7vL._AC_UL320_.jpg,Data Heals The Soul: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$26.99,,
https://m.media-amazon.com/images/I/51YMNKLqanL._AC_UL320_.jpg,Data And Coffee: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$26.99,,
https://m.media-amazon.com/images/I/51XTTPXuySL._AC_UL320_.jpg,Big Data Demystified: How to use big data| data science and AI to make better business decisions and gain competitive advantage,S$10.60,4.3 ,24
https://m.media-amazon.com/images/I/81Sdk02bg+L._AC_UL320_.jpg,Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,S$57.95,4.5 ,283
https://m.media-amazon.com/images/I/71+a2BRg5YL._AC_UL320_.jpg,Deep Learning: A Visual Approach,S$105.65,4.7 ,18
https://m.media-amazon.com/images/I/818jBhZPuUL._AC_UL320_.jpg,Data Mining for Business Analytics: Concepts| Techniques and Applications in Python,S$145.00,4.3 ,31
https://m.media-amazon.com/images/I/813T2iWhVVL._AC_UL320_.jpg,Kafka - The Definitive Guide: Real-Time Data and Stream Processing at Scale,S$54.05,4.8 ,14
https://m.media-amazon.com/images/I/41nvjoBWxhL._AC_UL320_.jpg,Effective Data Storytelling: How to Drive Change with Data| Narrative and Visuals,S$48.31,4.7 ,97
https://m.media-amazon.com/images/I/8145y9-jhYL._AC_UL320_.jpg,The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios,S$53.90,4.6 ,426
