Image_Url, Item_Name, Username, Rating_Score, Review_Description, Review_Date 
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,CSMD,5.0 ,This is the best phone I have ever used' fingerprint reader very fast' It lasted for a day and half also screen quality very bright' I actually love it.,Reviewed in the United States on 24 April 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,HolyDiver,1.0 ,Yeah' until February 2022.  Because this phone only supports 3g on American networks.  Now that the 3g networks are being shutdown' this is little more than a fancy camera that can't be used as a phone in the USA.,Reviewed in the United States on 15 December 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Mitchell Coleman,4.0 ,I like all things about the phone and wouldn;t change anything.,Reviewed in the United States on 6 July 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Penny L. Petrich,5.0 ,Love this cell phone. Very easy to set up and use all the features. Takes fantastic pictures!,Reviewed in the United States on 3 August 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,jason,5.0 ,This phone is very fast. Has very colorful display' great resolution. The only thing I need is to buy fast charger and see how  fast it is.,Reviewed in the United States on 4 August 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Tokyo,5.0 ,Genuine product -- arrived very quickly. No problems other than this mobile will not work in America as advertised -- 3G networks are now disabled in the USA and this iteration of the phone has no 5G bands for AT&T etc.,Reviewed in the United States on 4 January 2022
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Edgar lopez,5.0 ,Director's view is awesome.,Reviewed in the United States on 2 April 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Wondimu Tufa,5.0 ,It is smart I like it very much it’s camera,Reviewed in the United States on 29 July 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Lloyd,4.0 ,So far its been great' an upgrade from a samsung A50.,Reviewed in the United States on 9 November 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Vitalie R.,2.0 ,The battery life is very short. It's literally melting while I take photos or videos. And it's heating up so quickly. Dont know the reason.,Reviewed in the United States on 23 August 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Ayhan Yuce,1.0 ,Product stop working after two month. They sell me this product factory unlock phone and after two month can not make call or receive call.,Reviewed in the United States on 17 August 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,oluwaseyi oladeji,5.0 ,Face recognition' fingerprint & battery life are so absolutely good. I gave it all 100/Percentage,Reviewed in the United States on 15 July 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Ryan Hefner,4.0 ,Great phone but 5G doesn't work with this phone with At&T plan. Just uses H+ for some reason.,Reviewed in the United States on 7 July 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Yoisbel,5.0 ,Es ral y como lo esperaba me encanto no duden en comprarlo🙂,Reviewed in the United States on 2 November 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,George Sakr,2.0 ,5G does not work with Bell Canada and wifi always sleeps when the phone is locked.,Reviewed in the United States on 13 July 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Che,5.0 ,Great phone no complaints,Reviewed in the United States on 26 July 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Austino,4.0 ,My phone came  without the charger,Reviewed in the United States on 4 December 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,juan omar ramos perez,5.0 ,Very good all fine,Reviewed in the United States on 21 June 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,K,5.0 ,Camera goes above and beyond,Reviewed in the United States on 15 June 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Juan David Haro Cardona,3.0 ,Open box,Reviewed in the United States on 27 May 2021
