Image_Url, Item_Name, Item_Price, Average_Rating (Max Score is 5), Number_Of_Ratings 
https://m.media-amazon.com/images/I/71WgSLVSVEL._AC_UL320_.jpg,Philips Kitchen Appliances Pizza Master Accessory Kit for Philips Airfryer XXL Models| Black| HD9953/00,S$60.13,4.3 ,32
https://m.media-amazon.com/images/I/71zIt5Gt3wL._AC_UL320_.jpg,Oculus Quest 2 Carrying Case for Lightweight| Portable Protection - VR,S$96.24,4.7 ,11'010
https://m.media-amazon.com/images/I/61v-qf67cAL._AC_UL320_.jpg,Steering Wheel Controller for Nintendo Switch (2 Pack) by TalkWorks | Racing Games Accessories Joy Con Controller Grip for Mario Kart| Black,S$13.02,4.4 ,3'755
https://m.media-amazon.com/images/I/61YvXAFdpnL._AC_UL320_.jpg,Grip Kit for Nintendo Switch Joy Con Controller|ShowTop Nintendo Switch Accessories Joy Con Grip-Blue and Red (2 Packs),,,
https://m.media-amazon.com/images/I/81IvaDNdQ8L._AC_UL320_.jpg,Wireless Controller for PS-4| BRHE Replacement Remote Gamepad Gaming Accessories Joystick Touch Pad/Built-in Speaker with Type-C Cable for Playstation-4/Pro/Slim/PC (Pink),S$54.93,4.4 ,180
https://m.media-amazon.com/images/I/61oRORaIc6L._AC_UL320_.jpg,KIWI design Head Strap Accessories| Elite Strap for Enhanced Support and Comfort in VR Compatible with Quest 2,S$85.47,4.8 ,4'802
https://m.media-amazon.com/images/I/81TuXyNL0mL._AC_UL320_.jpg,[2 Pack] Leg Strap Compatible with Switch OLED Model & for Nintendo Switch Ring Fit Adventure| for Joy Cons Controller Game Accessories| Adjustable Elastic Strap| Two Size for Adults and Children,S$34.10,4.5 ,574
https://m.media-amazon.com/images/I/514oAKnAYGL._AC_UL320_.jpg,Nintendo Mario Tennis Aces (HACPALERA)| Nintendo Switch,S$79.90,4.7 ,4'136
https://m.media-amazon.com/images/I/81CInh6zc2L._AC_UL320_.jpg,Carnival Games Nintendo Switch,,,
https://m.media-amazon.com/images/I/51Dcr5v511S._AC_UL320_.jpg,Playseat® Challenge Black,S$582.33,4.6 ,3'927
https://m.media-amazon.com/images/I/81BvoMAfkmL._AC_UL320_.jpg,FILA Accessories Boxing Gloves for Men & Women - Kickboxing| Heavy Bag Punching Mitts| MMA| Muay Thai| Sparring Pro Training Equipment (10| 12| 14| 16| 18 oz),S$41.26,4.6 ,123
https://m.media-amazon.com/images/I/512TTjfy3LL._AC_UL320_.jpg,GoPro AKTAC-001 Sports Kit Accessories Bundle| Black,S$100.00,4.7 ,321
https://m.media-amazon.com/images/I/11sM9YUI+IL._AC_UL320_.jpg,KOBO - ACCESSORIES Clara HD eReader SleepCover Case with Stand| 6"| Black|N249-AC-BK-E-PU,S$49.00,4.7 ,149
https://m.media-amazon.com/images/I/61CJrrUbnZL._AC_UL320_.jpg,GoPro AHWBM-002 Camera Accessory Mount Hand And Wrist Strap| Black,S$79.31,4.6 ,398
https://m.media-amazon.com/images/I/71VskXELIhL._AC_UL320_.jpg,Canon Accessories Canon Extension Grip Eg-E1(Bk),S$57.63,4.7 ,114
https://m.media-amazon.com/images/I/71OU0qvmxVL._AC_UL320_.jpg,Celestron 21024-ACC FirstScope Accessory Kit (Black),S$41.11,4.5 ,1'982
https://m.media-amazon.com/images/I/61B3q8EKZxL._AC_UL320_.jpg,Garmin 010-12741-04 Quickfit 26 Watch Band - Coyote Tan - Accessory Band for Fenix 5X Plus/Fenix 5X,S$70.42,4.7 ,194
https://m.media-amazon.com/images/I/718QBI5WTLL._AC_UL320_.jpg,Garmin vívofit jr 2| Accessory Band Only| MARVEL Spider-Man| Red,S$46.25,4.4 ,1'421
https://m.media-amazon.com/images/I/71EZ9WyxztL._AC_UL320_.jpg,RemiLore: Lost Girl in the Lands of Lore - Nintendo Switch,S$103.54,4.3 ,226
https://m.media-amazon.com/images/I/71-gBQuzt7L._AC_UL320_.jpg,FitStill 60M Waterproof Case for GoPro Hero 10 Black / Hero 9 Black| Protective Underwater Dive Housing Shell with Bracket Accessories for Go Pro Hero10 Hero9 Action Camera,S$29.73,4.6 ,804
https://m.media-amazon.com/images/I/61goSZiPsaL._AC_UL320_.jpg,GoPro AJPTC-001 Tempered Glass Lens + Screen Protectors (HERO8 Black) - Official Accessory,S$26.92,4.6 ,382
https://m.media-amazon.com/images/I/71ebfDQ3r6L._AC_UL320_.jpg,Fellowes Laptop Dual-Display Arm Accessory (8044101)| Black,S$56.93,4.2 ,10
https://m.media-amazon.com/images/I/81Cv5kVuUuL._AC_UL320_.jpg,Shure MV88+ Video Kit MOTIV Video Kit Digital Stereo Condenser Microphone and Accessories for Smartphones| Black,S$350.55,4.4 ,873
https://m.media-amazon.com/images/I/51-IaSGsL2L._AC_UL320_.jpg,FitStill 60M Waterproof Case for GoPro Hero 8 Black| Protective Underwater Dive Housing Shell with Bracket Accessories for Go Pro Hero8 Action Camera,S$28.74,4.6 ,431
https://m.media-amazon.com/images/I/612vGaK9MgL._AC_UL320_.jpg,GoPro The Handler (Floating Hand Grip),S$45.00,4.7 ,255
https://m.media-amazon.com/images/I/61f1xNHL21L._AC_UL320_.jpg,Havit RGB Headphones Stand with 3.5mm AUX and 2 USB Ports| Headphone Holder for Gamers Gaming PC Accessories Desk,S$29.99,4.5 ,8'725
https://m.media-amazon.com/images/I/51Kl0xKgwLS._AC_UL320_.jpg,ROARINGWILD Guitar Strap Leather Guitar Universal Strap Adjustable Guitar Strap Guitar Musical Instrument Accessories,,,
https://m.media-amazon.com/images/I/71caoe6i0qL._AC_UL320_.jpg,Dremel EZ725 All-Purpose Accessory Storage Kit| 70-Piece,S$65.94,4.7 ,831
https://m.media-amazon.com/images/I/71E6hWi0P+L._AC_UL320_.jpg,GoPro Protective Housing (HERO9 Black)|ADDIV-001,S$75.00,4.8 ,749
