Image_Url, Item_Name, Item_Price, Average_Rating, Number_Review
https://m.media-amazon.com/images/I/512U6fHNcVL._AC_UL320_.jpg,ICYSTOR Earphones Xiaomi Airdots 2 Headphones for smartphone Bluetooth headsets TWS Air Dots Headset For iPhone Xiaomi Realme Poco,S$31.52,,
https://m.media-amazon.com/images/I/41EuHhqEzyS._AC_UL320_.jpg,ICYSTOR Desk Stand Mobile Phone Holder Smartphone Stand Holder For iPhone for Xiaomi for Smart Phone MP3 Car Mount Stand,S$31.52,,
https://m.media-amazon.com/images/I/41tHYlyFLpL._AC_UL320_.jpg,Type-C Professional Lavalier Lapel Microphone| CKMOVA LCM1C with Type-C connector for Android Smartphone| SamSung| LG| OPPO| Vivo| Xiaomi,S$57.26,,
https://m.media-amazon.com/images/I/61Q4Oxyus6L._AC_UL320_.jpg,2.4GHz Wireless Microphone System Two Transmitters for USB-C Devices| Saramonic Ultracompact Dual-channel Mic for Type-C Smartphones Pad Tablet Huawei Mate 10 Samsung Galaxy Note 9 Plus Xiaomi LG Live,S$302.97,4.4 ,129
https://m.media-amazon.com/images/I/61Nq4Y2RpXL._AC_UL320_.jpg,USB C Microphone Cable| Devinal XLR Female to Type-C Cord Adapter Connector| Compatible with Sumsung Google Huawei Xiaomi USB Type-C Devices Smartphone or MacBook 10FT,S$56.96,3.6 ,29
https://m.media-amazon.com/images/I/410WRf3kk7L._AC_UL320_.jpg,Xiaomi HXM-M10-256-GY-EU Mi 10 Smartphone| 6.67" AMOLED Display| 8GB RAM| 256GB ROM| Twilight Grey,S$999.00,4.4 ,133
https://m.media-amazon.com/images/I/61T+D8ozegL._AC_UL320_.jpg,Xiaomi HPC-F2-PRO-128-BLU-E Poco F2 Pro Smartphone| 6.67" AMOLED Display| 6GB RAM| 128GB ROM| Neon Blue,S$799.00,4.4 ,135
https://m.media-amazon.com/images/I/61dcWgQnk3L._AC_UL320_.jpg,Xiaomi Redmi 10 FHD+ DotDisplay Smartphone| 6GB RAM + 128GB ROM (Sea Blue),S$315.04,4.7 ,23
https://m.media-amazon.com/images/I/61NIBaCrc7L._AC_UL320_.jpg,Xiaomi HXM-M10-256-GN-EU Mi 10 Smartphone| 6.67" AMOLED Display| 8GB RAM| 256GB ROM| Coral Green,S$939.07,4.4 ,133
https://m.media-amazon.com/images/I/51i8vTlJ8GL._AC_UL320_.jpg,Xiaomi HXM-9A-32-GRN-EU Redmi 9A Dual Sim Smartphone| 6.53" LCD Display| 2GB RAM| 32GB ROM| Peacock Green,S$138.00,4.5 ,666
https://m.media-amazon.com/images/I/415eNnSHfdL._AC_UL320_.jpg,Xiaomi 11 Lite 5G NE AMOLED Smartphone| 8GB RAM + 256GB ROM (Snowflake White),S$488.66,3.1 ,2
https://m.media-amazon.com/images/I/61GXPNuBI+L._AC_UL320_.jpg,Xiaomi Poco X3 NFC 128GB + 8GB RAM 4G Volte GSM| 5160mAh| 6.67 DotDisplay| Factory Unlocked Smartphone (NOT VERIZON Boost Cricket) - International Version Fast Car Charger Bundle (Shadow Grey),S$443.28,4.4 ,37
https://m.media-amazon.com/images/I/61hO0cEC4SS._AC_UL320_.jpg,Xiaomi Black Shark 3 Ultimate Gaming Smartphone| 8GB+128GB Midnight Black,S$798.00,,
