Image_Url, Item_Name, Item_Price, Average_Rating, Number_Review
https://m.media-amazon.com/images/I/41O1DR3qRHS._AC_UL320_.jpg,Xiaomi Mi 360 Degree Home Security Camera 2K,S$48.90,4.4 ,682
https://m.media-amazon.com/images/I/61ppTvy7g0L._AC_UL320_.jpg,Xiaomi Mi 360 Degree Home Security Camera 2K Pro,S$66.90,4.3 ,474
https://m.media-amazon.com/images/I/41rQ3e7UIES._AC_UL320_.jpg,Xiaomi Mi 1080p 360 Degree Home Security Camera,S$42.90,4.4 ,240
https://m.media-amazon.com/images/I/51+5peoz6XL._AC_UL320_.jpg,Xiaomi QDJ4041GL Mi Home Security Camera 360 1080P| White,S$60.44,4.5 ,7'650
https://m.media-amazon.com/images/I/61qyi9y2iHS._AC_UL320_.jpg,Xiaomi Mi Home 360° Smart Wi-Fi Security Camera| QDJ4058GL,S$44.78,4.5 ,2'253
https://m.media-amazon.com/images/I/512C3HSGpOL._AC_UL320_.jpg,TP-Link Tapo C200 Pan/Tilt Home Security Wi-Fi Camera,S$41.90,4.5 ,37'631
https://m.media-amazon.com/images/I/51N0gHSnfaL._AC_UL320_.jpg,English Version XIAOMI CHUANGMI IMILAB A1 Home Security Camera 3MP 360 WIFI Motion Detection,S$44.00,4.1 ,139
https://m.media-amazon.com/images/I/51SJGzKltnS._AC_UL320_.jpg,Wireless Rechargeable Battery Powered WiFi Camera| Home Security Camera| Night Vision| Indoor/Outdoor| 1080P Video with Motion Detection| 2-Way Audio| Waterproof| compatible with Cloud Storage/SD Slot,S$110.45,4.1 ,294
