Image_Url, Item_Name, Username, Rating_Score, Review_Description, Review_Date 
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,Graciela R.,5.0 ,llegó muy bien empaquetado con su caja de Amazon y sin golpes.Si recibí la versión con snapdragon que era lo que realmente me preocupaba pues leía que a otros usuarios les llegaba la versión con exynos' yo lo compre directamente con Amazon México no con algún otro vendedor.Lo único que me llamo un poco la atención es que la caja no traía los sellos con logos de Samsung solo eran unos transparentes y no venia como tal la hoja de garantía por lo cual no sé cómo se puede hacer válido algún desperfecto con Samsung' aso que lo estaré probando al 100 durante el tiempo que Amazon te da para hacer reclamos.La verdad yo no soy muy especial con el color pero en la descripción dice que es azul y en la imagen es lila por lo que leí en la sección de preguntas les llegaba lila y a mi me llegó el azul' así que es cuestión de que arreglen eso en la publicación para no confundir.Lo estaré probando y después subiré algún up date.,Reviewed in Mexico on 2 November 2021
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,José,1.0 ,La publicación mencionan que es la 5 G que con Snapdragon así como las reseñas que mencionan que les llegó' pero lamentablemente de mi es la versión e Europea con Movistar por lo que posee Exinos' el equipo me llegó bien solo la molestia es que no sean sinceros o se cuelen para vender versiones que no son' del equipo funciona con los detalles del procesador Exinos que se calienta cuando lo usas' de ahí en fuera todo está bien al parecer con el celular' y la compra pues una gran molestia por dar algo que no pediste' suerte con sus compras y espero que no les hagan perder el tiempo haciendo la devolución del producto,Reviewed in Mexico on 28 April 2021
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,Emmanuel Lozano,4.0 ,Hace 5 días me llego mi Samsung Galaxy S20 Fe 5G Cloud Navy. Me quede impresionado ya que llego antes de lo esperado.  Llego el equipo en buenas condiciones y totalmente sellado' con su cargador y su cable.  Decidí comprar este producto liberado ya que según tengo entendido viene con la versión de Snapdragon. Al venir de un celular de huawei (y al no tener acceso a las aplicaciones de Google) opte por comprar un Samsung de tal manera que ya habia tenido Galaxy S3 hace bastantes años. Estoy fascinado con su pantallas amoled (característico de Samsung) su calidad de imagen y video' sin olvidar su fluidez ya que cuenta con 120hz (ajustable a 60hz). Me encuentro satisfecho con la compra' sin embargo' el unico "pero" que le pongo es... He leído otros comentarios que hablan de un "buen rendimiento'' y sinceramente por horario de trabajo le he dado un uso básico' visitas a redes sociales espontáneas durante el día. Siendo ya la 5 pm tengo menos de un 55% de bateria tomando en cuenta que casi no lo uso en horario de trabajo. Mi experiencia con Samsung siempre su batería es mala y alargo plazo tiendes a fallar mucho sus baterías (experiencia a equipos anteriores). Quisiera saber si alguien más le ha pasado? Ya que he leído buenos comentarios de su rendimiento.,Reviewed in Mexico on 9 December 2020
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,Bere,3.0 ,Mi celular pasado era un Xiaomi' con las mismas características de almacenamiento 6GB y 128GB' solo que el Snapdragon  de este samsung es de 865' y la verdad no siento el cambio sustancial en cuanto al rendimiento' se siente igual de rápido. Puedo decir que no siento que sea de mejor calidad este Samsung que un Xiaomi con las mismas características.Otra cosa es la cámara' las selfies di mi otro cel tenía 20MP de la cámara frontal y éste es de 32MP' hice la comparación de las tomas y me gustaban más como salían en mi Xiaomi.Lo que no le discuto a este cel es la cámara trasera' es buena' pero se calienta muchísimo el teléfono al usar la cámara.Para terminar' siento que la pila no me dura mucho ni por que le activé el modo de ahorro de energía y tampoco uso el cel para jugar' no tengo ningún juego en mi cel.Y por el precio' la verdad me ubiera comprado otro xiaomi con mejor rendimiento' pero quise probar el samsung por sus cámaras y la verdad es que no vale la pena por la cámara. Quise regresar el cel pero en Amazon decía que este producto no era elegible para devolución.Otro punto malo es que no tiene grabador de voz' tuve que bajar una aplicación gratis que tiene muchos anuncios buuu. Estoy decepcionada de este cel.,Reviewed in Mexico on 3 February 2022
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,Robb,5.0 ,Sí' este equipo cuenta con el procesador Snapdragon 865 y con 5G' lo pedí directamente a Amazon México y viene con un cargador de 15W dentro de la caja.Pedí el color lavanda y aunque un sector se quejó de que la tapa es de plástico ni siquiera se nota' al tacto se siente de un material muy bueno y semi premium que le queda excelente y el color lavanda se ve hermoso.Ahora hablando del rendimiento' es muy potente. Me corre juegos pesados con una fluidez que asombra' no he tenido ningún problema de sobrecalentamiento y las pocas veces que aumentó su temperatura' bajó muy rápido.La batería' dependiendo del uso que le des y la fluidez que tengas activada en la pantalla (120 hz o 60hz)' puede variar entre 7 y hasta 10 horas de pantalla' en mi caso es suficiente para llegar al final del día (siempre tengo encendidos los 120Hz y hasta el Bluetooth y la batería no se drena rápido).La cámara trasera es muy buena para foto y video' aunque la frontal para selfies pudo ser mejor' pero no me quejo mucho ya que hace un trabajo aceptable.Sin duda es el mejor celular que he tenido.,Reviewed in Mexico on 20 February 2022
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,J,1.0 ,Never again will I buy another Samsung phone.  My Galaxy S8+ is superior in every way except 5G.  This phone reeks internal design contest by 1st year interns.  Goodbye Samsung.,Reviewed in the United States on 3 December 2020
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,Cliente de Amazon,4.0 ,Pague un buen precio por el celular' pero no he encontrado un buen case y me molesta no poder dejarlo en cualquier soperficie ya que me da miedo que se rallen las camaras. Además pensé que el procesador iba a ser mejor y a veces me ha pasado que se congele la pantalla con ciertas aps.,Reviewed in Mexico on 26 December 2020
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,Xendor Blaze,2.0 ,El celular no defrauda realmente' cumple con todas tus espectativas es muy potente y eficiente' se siente el poder de su procesador snapdragon 865 y la eficiencia de la batería es formidable te dura todo 1 jornada laboral de 8 horas sin ningún problema llegas a tu casa fácilmente con el 30 a 35% de batería con un uso frecuente del dispositivo durante el día. te permite saltar de aplicacion en aplicacion rápidamente y navegar por ellas sin qué el dispositivo se alente en ningún momento' se calienta muy poco a excepción de los juegos ahí suele subir considerablemente su temperatura pero no es de una manera exagerada. Las cámaras son excelentes y cuentan con una resolución e interpretación de colores muy balanceados y el modo noche es una maravilla las fotos en cuartos muy oscuros las saca tan claras como si fuera de día.Pero como dije el celular no decepciona el qué decepciona es el estado en el qué lo envían' ya que desde que habres la caja te das cuenta que no protegen de movimientos o golpes bruscos a la caja del dispositivo qué viene dentro y va totalmente suelto. De ahí una vez qué sacas tu articulo te das cuenta que ya ha sido habierto ya que la caja dónde viene el celular no traía los sellos oficles de Samsung' si no más bien un sello común y corriente que puedes conseguir en una papelería' una vez que rompes dichos sellos y abres la caja para ver tu celular y revisas los documentos que suelen traer un celular "nuevo" te das cuenta qué la garantía del dispositivo no viene dentro' reafirmando una vez más que la caja fue abierta antes. Después de 20 días de uso del celular el botón de BLOQUEO/ENCENDIDO' se comienza  aflojar y se termina cayendo dejando al botón incerbible. y sin la hoja de garantía dentro de la caja te ponen en un grave predicamento ya que no puedes exigirle una garantía a Samsung porque no cuentas con la hoja. afortunadamente ésto me sucedió antes de cumplirse el mes de oportunidad que te da Amazon para regresarlo y pude devolver el equipó pidiendo mi reembolso' pero si esto hubiera pasado después del mes y sin la hoja de la garantía del celular hubiera tirado 14 mil pesos a la basura. Revisen bien como llega el celular y chequen si su articulo lleva la garantía y si no es así usen y pongan aprueba su celular de manera intesa para detectar los defectos rápidamente y estén a tiempo de pedir el reembolso de su dinero.,Reviewed in Mexico on 17 August 2021
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,olga maribel,4.0 ,No tengo problema con el producto pero llegó justo como se ve en la foto abierto' es lo que vi al abrirlo y le tomé foto. Esto es de pésimo gusto' no sé si DHL o en aduana o qué pero no le pongo todas las estrellas por el manejo del envío' el celular está súper,Reviewed in Mexico on 23 February 2021
https://m.media-amazon.com/images/I/41UuyU7HsPL._AC_US60_SCLZZZZZZZ__.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,Carlo,5.0 ,Hace unos meses compré el S20 plus con exynos y debo decir que ese celular es una basura. La batería le duraba 8 horas en uso normal! Y 4 horas de pantalla encendida. Entonces lo devolví y ahorita compré este celular el S20 FE 5G con snapdragon y es muy diferente' la batería le dura como 20 horas de uso normal y 7.5 horas de pantalla encendida (eso sí' le dura eso con los 120hrz de pantalla apagados) pero estoy satisfecho con mi compra. Juego PUBG y COD durante dos horas y no se calienta casi. Entonces si lo recomiendo' llevo como 2 meses con el,Reviewed in Mexico on 16 January 2021
