Image_Url, Item_Name, Item_Price, Average_Rating, Number_Review
https://m.media-amazon.com/images/I/61Z7ec3eRUL._AC_UL320_.jpg,19.7 Foot/6M XLR to Type-C Cable| Saramonic UTC-XLR XLR (Female) Microphone Connector to USB Type-C Audio Cable Smartphone Adapter Compatible with Huawei Sumsung Xiaomi Type-C Devices Smartphone,S$132.37,4.0 ,18
https://m.media-amazon.com/images/I/51jZf+dlpVL._AC_UL320_.jpg,YINZHI Live Equipment PS-5 Universal Live Broadcast Bracket Tripod Holder with Anti-spray Net & Microphone Clip & Shockproof Clip| For iPhone| Galaxy| Sony| Lenovo| HTC| Huawei| and other Smartphones,S$25.18,,
https://m.media-amazon.com/images/I/41kjEm24iUL._AC_UL320_.jpg,CECP13 AYSMG PS-5 Universal Live Broadcast Bracket Tripod Holder with Anti-spray Net & Microphone Clip & Shockproof Clip| For iPhone| Galaxy| Sony| Lenovo| HTC| Huawei| and other Smartphones,S$26.50,,
https://m.media-amazon.com/images/I/71PNg4XFYYS._AC_UL320_.jpg,BOYA Upgrade 2.4GHz Wireless Lavalier Lapel Mic| Omnidirectional Microphone System Audio Recording with Easy Clip On| 3.5mm Plug for Canon Nikon Sony DSLR Camera| Camcorder| iPhone Huawei Smartphone,S$253.13,4.0 ,69
https://m.media-amazon.com/images/I/51AVACHXHOL._AC_UL320_.jpg,HD Phone Lens Professional Camera Lens Kits| Wide Angle Lens & Macro Lens & Fisheye lens 3 in1 kit for iPhone/Huawei/Samsung and Most Smartphone,S$253.13,,
https://m.media-amazon.com/images/I/41jVFNEfEDS._AC_UL320_.jpg,In-ear Style Wired Earphones Portable HiFi Bass Stereo Universal Headset For Smart Phone Huawei Xiaomi,S$253.13,,
https://m.media-amazon.com/images/I/4185Q1ZTTyL._AC_UL320_.jpg,5PCS Type-C Dust Plug USB Charging Port Protector Silicone Cover for Huawei Smart Phone Accessories,S$253.13,,
https://m.media-amazon.com/images/I/31Y-qvWnnBS._AC_UL320_.jpg,3.5mm In-Ear Stereo with Mic Wired Headset Earphone Universal Headphone for Huawei Smartphone Galaxy S4,S$253.13,,
https://m.media-amazon.com/images/I/61-TFMHBRWL._AC_UL320_.jpg,Bike Frame Bag| Bike Phone Holder| MOZOWO Waterproof Bicycle Front Top Tube Pouch Pannier Cycling Crossbar Stroage Bag Cell Phone Mount Stand for iPhone XS MAX XR X 8 7 6S Plus Smartphones Below 6.2'',S$53.84,,
https://m.media-amazon.com/images/I/61tyIG+b4+L._AC_UL320_.jpg,Neewer Smartphone Holder Vertical Bracket with 1/4-inch Tripod Mount - Phone Clip Tripod Adapter Compatible with iPhone 12/11 Pro Max/X/XR| Galaxy S20+/S20| Huawei P40 Pro and Other Phones (Black),S$13.49,4.6 ,3'630
https://m.media-amazon.com/images/I/51BtdK1O6PL._AC_UL320_.jpg,Huawei HW-JNY-LX2 Nova 7I Dual Sim Smartphone| 6.4" LCD Display| 8GB RAM| 128GB ROM| Pink,S$388.00,3.9 ,4
https://m.media-amazon.com/images/I/71+hXrBSuzL._AC_UL320_.jpg,Neewer Aluminum Smartphone Video Rig| Filmmaking Case| Phone Video Stabilizer Grip Tripod Mount for Videomaker Film-Maker Video-grapher Compatible with iPhone 11 11 Pro 11 Pro Max X Xs Huawei Samsung,S$31.49,4.5 ,110
https://m.media-amazon.com/images/I/51iSmgghIjL._AC_UL320_.jpg,Huawei HW-JNY-LX2 Nova 7I Dual Sim Smartphone| 6.4" LCD Display| 8GB RAM| 128GB ROM| Black,S$388.00,3.9 ,4
https://m.media-amazon.com/images/I/31U3Tx3D5uL._AC_UL320_.jpg,Huawei HW-JNY-LX2 Nova 7I Dual Sim Smartphone| 6.4" LCD Display| 8GB RAM| 128GB ROM| Grey,S$388.00,3.9 ,4
https://m.media-amazon.com/images/I/61IKwuO5jpL._AC_UL320_.jpg,iOttie Easy One Touch 5 Cup Holder Universal Car Mount Phone Holder for iPhone| Samsung| Moto| Huawei| Nokia| LG| Smartphones,S$55.50,4.5 ,1'521
https://m.media-amazon.com/images/I/61DkwU-KXjL._AC_UL320_.jpg,Neewer Cellphone Holder Clip Desktop Tripod Mount with Mini Ball Head Hot Shoe Adapter for 14-inch and 18-inch Ring Light and iPhone| Samsung| Huawei Smartphone Within 1.9-3.9 inches Width,S$17.99,4.6 ,1'139
https://m.media-amazon.com/images/I/61kiR4PSXkL._AC_UL320_.jpg,iOttie Auto Sense Qi Wireless Charging Car Charger Automatic Clamping Cup Holder Phone Mount for iPhone| Samsung Galaxy| Huawei| LG| Smartphones,S$89.00,4.2 ,121
https://m.media-amazon.com/images/I/816jn2Wtx8L._AC_UL320_.jpg,iOttie Wireless Car Charger Auto Sense Qi Charging Automatic Clamping Dashboard Phone Mount for iPhone| Samsung Galaxy| Huawei| LG| Smartphones,S$55.04,4.3 ,3'119
https://m.media-amazon.com/images/I/61Ba79xTwQS._AC_UL320_.jpg,Shamo's Magnetic Car Mount Holder Air Vent 360 Rotating Universal Fit Compatible with most smartphones iPhone 12 Series | 11 Series | XR | XS | 8 | 7 Galaxy | Huawei | Google Pixel etc - Silver,S$15.99,3.2 ,9
https://m.media-amazon.com/images/I/618mE33nB4L._AC_UL320_.jpg,Universal Car Rearview Mirror| Phone Holder for Car 360° Rotation Adjustable Car Phone Mount for iPhone| Samsung Galaxy| HUAWEI| Fits Most Smartphone and Navigator Smaller than 5 inch,S$6.59,,
https://m.media-amazon.com/images/I/61kNkaxQisL._AC_UL320_.jpg,Yesido 6 Strong Magnets Phone Mount Adjustable Telescopic Arm 360 Degree Rotation Windshield Dashboard Phone Holder Compatible for iPhone| Samsung| Moto| Huawei| Nokia| LG| and More Smartphones,S$22.47,,
https://m.media-amazon.com/images/I/31GivDPrwYL._AC_UL320_.jpg,Alluring Smartphone Cell Phone Holder Air Vent Mount Car Mount - Hooked Design - Compatible with iPhone Samsung Galaxy LG Google. Suitable for All Smartphones Screen Size from 3.4" - 7" (Qty: 2),S$26.93,3.1 ,2
https://m.media-amazon.com/images/I/71YlChhaoNL._AC_UL320_.jpg,Ruittos Smartphone Tripod Mount Holder| Cell Phone Clip with Hot-Shoe Mount| Compatible with iPhone 11 X 8 7 Samsung LG Huawei.. (Z6),S$17.83,,
