Image_Url, Item_Name, Username, Rating_Score, Review_Description, Review_Date 
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),lodaleader,2.0 ,The battery life does not last long at all. With all the good reviews about the battery longevity' my old phone lasted much longer than this. Camera quality is excellent. Phone gets hot too quick... Don't know what that's all about. I am disappointed overall since I expected more than what I received. I would have given it more starts but battery is depleted too quick and the phone gets hot while on it.,Reviewed in the United States on 23 January 2020
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Phil Wilson,5.0 ,Love this phone so far. Nice to have a phone I'd consider disposable that isn't junk,Reviewed in the United States on 13 August 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Scott,3.0 ,I've had this phone for several months now and I've actually reduced my review and lowered the rating. It's just not holding up to average daily use. The charging port has gotten loose the screen is tough in that it doesn't crack' but it scratches really easy. It seems to also get bogged down in memory pretty readily. The batteries are great though they last forever!,Reviewed in the United States on 29 November 2020
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Amazon Customer,5.0 ,Great looking phone' works great' is responsive and quick' stock Android is good' has no bloatware' can't beat it for the price. I usually buy inexpensive phones because I go through them fast and was pleasantly surprised with the quality of this phone when I received it.,Reviewed in the United States on 16 September 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Amazon Customer,1.0 ,Good looking phone. I bought it January 4' 2020 to replace my broken LG. According to the description it should work with all common carriers. Well I can make calls' but data does not work' nor messaging - sends messages but does not recieve. Now the Battery does not charge fully anymore. Will try to return to Amazon although the return window closed on Feb 3rd.Do NOT recommend.,Reviewed in the United States on 11 February 2020
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),cees kist,5.0 ,I had a UMIDIGI phone before that I liked but not loved because the fingerprint scanner was kinda crappy. I was able to buy it for $10 on a special Aliexpress day. This phone' however' has a great fingerprint scanner and it is fast. Realy fast. Battery life is great and I have had 2 updates in the last 2 months on the Android 9 OS already. Very nice and no bloatware. Fast camera's too.,Reviewed in the United States on 8 September 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Greg Zyntek,1.0 ,Returned. Wouldn't recognize 4g network and AT&T techs were dumbfounded. Very poor reception and wouldn't link with half my blue tooth devices.  Never even got to use the camera so no comment there.Will hold on to my Honor 5X until later. This A5 pro is virtually useless for me.  Disappointed.,Reviewed in the United States on 17 December 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Sancho McAwesomeness,1.0 ,Didn't work with straight talk or the phone was no good. Got a new SIM pack and had mobile data on. Tried to problem solve with their technical support but got no where. Amazon told me at first it was my SIM card so I bought another with service plan. Wasted a lot of money.,Reviewed in the United States on 24 December 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Kathryn B.,2.0 ,When I first got this phone it worked flawlessly for about a month. Soon' my touch screen became unresponsive and restarting the phone to remedy the issue resulted in a restart time of about 8 minutes. When you try to charge the phone as well' it only goes up to about 94%. I messaged the seller to try and get my warranty taken care of and the seller never responded. Not only this' but the power button feels like it will fall right off of the phone. No' this phone has not been dropped' thrown' or battered in any way' it was just used daily for a month. Save your money and buy a different phone.,Reviewed in the United States on 11 December 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Shelby N Fulks,1.0 ,So whenever I first received this phone it was a good one' good picture' good sound quality' good storage' the speed of the phone is still pretty good.....All besides the point of all that' you can't use or atleast attempt to use the phone whenever it dead with in a hour or 2 after it being fully charged,Reviewed in the United States on 28 February 2020
